Aspect_Ratio,BNC,Brightness,Built-in_Speakers,Component,Contrast_Ratio,Curved,Curved_Screen,DVI,DVI-D_Dual-Link,DVI-I_Dual-Link,Display_Colors,DisplayPort,HDMI,IPS,Kind,LED,Link,Manufacturer,Mini-Display_Port,Model,Name,Part_#,Prices,Pricing,Recommended_Resolution,Refresh_Rate,Response_Time,S-Video,Screen_Size,Supports_Freesync,Supports_G-Sync,VGA,Viewing_Angle,Widescreen,screen_size,response,avg,refresh,screen_res,screen_area,screen_dims,screen_x,screen_y,price_per_sq_in
16:9,,200.0,No,,"DC 5,000,000:1 (1000:1)",,,,,,16700000,,1,Yes,Monitor,Yes,/product/YsR48d/lg-monitor-27mp35hq,LG,,,"LG 27MP35HQ 27.0"" 1920x1080 60Hz Monitor",27MP35HQ,[],{},1920 x 1080,60Hz,5 ms,,27,,,1,178° H x 178° V,Yes,27.0,5.0,0.0,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:10,,280.0,No,,1000:1,,,2,,,16700000,1,,No,Monitor,No,/product/gZNp99/eizo-monitor-sx2262wbk,Eizo,,,"Eizo SX2262W-BK 22.0"" 1920x1200 Monitor",SX2262W-BK,[],{},1920 x 1200,,6 ms,,22,,,,178° H x 178° V,Yes,22.0,6.0,0.0,0.0,"(16.0, 10.0)",217.528089888,"[18.6559626881, 11.6599766801]",18.6559626881,11.6599766801,0.0
16:9,,250.0,Yes,,1000:1,,,,1,,,,1,No,Monitor,Yes,/product/mWV48d/benq-monitor-gl2460hm,BenQ,,,"BenQ GL2460HM 24.0"" 1920x1080 60Hz Monitor",GL2460HM,"[132.99, 138.88, 139.0, 139.99, 144.99, 132.99, 139.0, 159.0]","{u'jet': 139.0, u'ncixus': 159.0, u'bestbuy': 144.99, u'bhphotovideo': 132.99, u'outletpc': 138.88, u'amazon': 132.99, u'newegg': 139.99, u'pcmall': 139.0}",1920 x 1080,60Hz,2 ms,,24,,,1,170° H x 160° V,Yes,24.0,2.0,140.855,60.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.572291365258
16:9,,300.0,No,,1000:1,,,2,,,,1,,No,Monitor,Yes,/product/pFvRsY/samsung-monitor-s24a850dw,Samsung,,,"Samsung S24A850DW 24.0"" 1920x1080 Monitor",S24A850DW,[452.99],{u'superbiiz': 452.99},1920 x 1080,,5 ms,,24,,,1,178° H x 178° V,Yes,24.0,5.0,452.99,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,1.84049033083
16:10,,250.0,No,,1000:1,,,,,,,,,No,Monitor,Yes,/product/hZNp99/samsung-monitor-ls22b420bwnza,Samsung,,,"Samsung LS22B420BWN/ZA 22.0"" 1680x1050 Monitor",LS22B420BWN/ZA,[],{},1680 x 1050,,5 ms,,22,,,1,,Yes,22.0,5.0,0.0,0.0,"(16.0, 10.0)",217.528089888,"[18.6559626881, 11.6599766801]",18.6559626881,11.6599766801,0.0
16:9,,250.0,No,,"5,000,000:1",,,,,,16700000,1,,No,Monitor,Yes,/product/XMcMnQ/hp-monitor-k7x31aaaba,HP,,,"HP K7X31AA#ABA 23.0"" 1920x1080 60Hz Monitor",K7X31AA#ABA,[289.99],{u'newegg': 289.99},1920 x 1080,60Hz,5 ms,,23,,,1,,Yes,23.0,5.0,289.99,60.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,1.28290577085
16:10,,300.0,No,,800:1,,,1,,,,,,No,Monitor,No,/product/x2H323/hp-monitor-l2045w,HP,,,"HP L2045w 20.1"" 1680x1050 60Hz Monitor",L2045w,[],{},1680 x 1050,60Hz,5 ms,,20.1,,,1,160° H x 160° V,Yes,20.1,5.0,0.0,60.0,"(16.0, 10.0)",181.57752809,"[17.0447659105, 10.6529786941]",17.0447659105,10.6529786941,0.0
16:9,,250.0,No,,1000:1,,,1,,,,1,,No,Monitor,Yes,/product/wRmLrH/hp-monitor-xn375aaaba,HP,,LA2306x,"HP LA2306x 23.0"" 1920x1080 Monitor",XN375AA#ABA,[],{},1920 x 1080,,5 ms,,23,,,1,170° H x 160° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,300.0,Yes,,1000:1 (ASCR 12000 : 1),,,1,,,16700000,,1,No,Monitor,No,/product/J6W9TW/asus-monitor-vh226h,Asus,,,"Asus VH226H 21.5"" 1920x1080 Monitor",VH226H,[],{},1920 x 1080,,2 ms,,21.5,,,1,170° H x 160° V,Yes,21.5,2.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:9,,250.0,Yes,,"ASCR 10,000,000:1",,,1,,,,,,No,Monitor,Yes,/product/vpPfrH/asus-monitor-vw228tlb,Asus,,,"Asus VW228TLB 21.5"" 1920x1080 Monitor",VW228TLB,[],{},1920 x 1080,,5 ms,,21.5,,,1,170° H x 160° V,Yes,21.5,5.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:10,,400.0,No,,"ASCR 50,000:1",,,1,,,1070000000,1,1,Yes,Monitor,No,/product/tPphP6/asus-monitor-pa246q,Asus,,,"Asus PA246Q 24.1"" 1920x1200 Monitor",PA246Q,[],{},1920 x 1200,,6 ms,,24.1,,,1,178° H x 178° V,Yes,24.1,6.0,0.0,0.0,"(16.0, 10.0)",261.038202247,"[20.4367591265, 12.7729744541]",20.4367591265,12.7729744541,0.0
16:9,,350.0,No,,,,,,1,,,,,Yes,Monitor,Yes,/product/fk648d/crossover-monitor-2795qhdahipsled,Crossover,,2795 QHD,"Crossover 2795 QHD 27.0"" 2560x1440 60Hz Monitor",2795 QHD AHIPS LED,[],{},2560 x 1440,60Hz,6 ms,,27,,,,178° H x 178° V,Yes,27.0,6.0,0.0,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
5:4,,250.0,Yes,,50000:1,,,1,,,16700000,,,No,Monitor,No,/product/FzV48d/asus-monitor-vb175t,Asus,,,"Asus VB175T 17.0"" 1280x1024 Monitor",VB175T,[],{},1280 x 1024,,5 ms,,17,,,1,160° H x 160° V,No,17.0,5.0,0.0,0.0,"(5.0, 4.0)",140.975609756,"[13.2747697605, 10.6198158084]",13.2747697605,10.6198158084,0.0
16:9,,350.0,No,,,,,,,,,1,1,No,Monitor,Yes,/product/CwgPxr/dell-s2417dg-238-165hz-monitor-s2417dg,Dell,,,"Dell S2417DG 23.8"" 2560x1440 165Hz Monitor",S2417DG<br/>(or) YNY1D,"[399.99, 399.99, 439.99, 468.99, 549.99]","{u'amazon': 399.99, u'newegg': 439.99, u'neweggmkt': 549.99, u'bestbuy': 399.99, u'pcmall': 468.99}",2560 x 1440,165Hz,1 ms,,23.8,,Yes,,170° H x 160° V,Yes,23.8,1.0,451.79,165.0,"(16.0, 9.0)",242.039643917,"[20.7434977836, 11.6682175033]",20.7434977836,11.6682175033,1.86659504488
16:10,,300.0,No,,DC 20000:1 (1000:1),,,1,,,,,,No,Monitor,No,/product/bqZQzy/samsung-monitor-2443bwt1,Samsung,,,"Samsung 2443BWT-1 24.0"" 1920x1200 Monitor",2443BWT-1,[],{},1920 x 1200,,5 ms,,24,,,1,170° H x 160° V,Yes,24.0,5.0,0.0,0.0,"(16.0, 10.0)",258.876404494,"[20.3519592961, 12.7199745601]",20.3519592961,12.7199745601,0.0
16:9,,300.0,Yes,,"100,000 :1 (ASCR)",,,1,,,16700000,1,1,No,Monitor,No,/product/T8tCmG/asus-monitor-ve276q,Asus,,,"Asus VE276Q 27.0"" 1920x1080 Monitor",VE276Q,[],{},1920 x 1080,,2 ms,,27,,,1,170° H x 160° V,Yes,27.0,2.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,400.0,No,1,"100,000:1",,,1,,,16700000,,1,No,Monitor,No,/product/ZtDwrH/asus-monitor-vg236h,Asus,,,"Asus VG236H 23.0"" 1920x1080 120Hz Monitor",VG236H,[],{},1920 x 1080,120Hz,2 ms,,23,,,,170° H x 160° V,Yes,23.0,2.0,0.0,120.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:10,,250.0,Yes,,50000 :1 (ASCR),,,1,,,16700000,,,No,Monitor,No,/product/YnR48d/asus-monitor-vw226ttaa,Asus,,,"Asus VW226T-TAA 22.0"" 1680x1050 Monitor",VW226T-TAA,[],{},1680 x 1050,,5 ms,,22,,,1,170° H x 160° V,Yes,22.0,5.0,0.0,0.0,"(16.0, 10.0)",217.528089888,"[18.6559626881, 11.6599766801]",18.6559626881,11.6599766801,0.0
16:10,,300.0,No,,"DC 70,000:1(1000:1)",,,1,,,,,,No,Monitor,No,/product/f3YXsY/samsung-monitor-b1940w,Samsung,,,"Samsung B1940W 19.0"" 1440x900 Monitor",B1940W,[],{},1440 x 900,,5 ms,,19,,,1,170° H x 160° V,Yes,19.0,5.0,0.0,0.0,"(16.0, 10.0)",162.247191011,"[16.1119677761, 10.0699798601]",16.1119677761,10.0699798601,0.0
16:9,,250.0,No,,"DCR 5,000,000:1 (1000:1)",,,1,,,16700000,,1,No,Monitor,Yes,/product/ncDwrH/samsung-monitor-px2370,Samsung,,,"Samsung PX2370 23.0"" 1920x1080 Monitor",PX2370,[],{},1920 x 1080,,2 ms,,23,,,,170° H x 160° V,Yes,23.0,2.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,250.0,No,,"ASCR 10,000,000:1",,,1,,,16700000,,1,No,Monitor,Yes,/product/N3YXsY/asus-monitor-ml228h,Asus,,,"Asus ML228H 21.5"" 1920x1080 Monitor",ML228H,[],{},1920 x 1080,,2 ms,,21.5,,,1,,Yes,21.5,2.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:9,,250.0,No,,"DCR 1,000,000:1 (1,000:1)",,,,,,16700000,1,1,No,Monitor,Yes,/product/CjrG3C/samsung-monitor-s23a950d,Samsung,,,"Samsung S23A950D 23.0"" 1920x1080 120Hz Monitor",S23A950D,[],{},1920 x 1080,120Hz,2 ms,,23,,,,170° H x 160° V,Yes,23.0,2.0,0.0,120.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
5:4,,250.0,Yes,,ACM 50000:1(800:1),,,1,,,16700000,,,No,Monitor,No,/product/sqZQzy/acer-monitor-etcb3rpd02,Acer,,B193DJbmdh,"Acer B193DJbmdh 19.0"" 1280x1024 Monitor",ET.CB3RP.D02,[],{},1280 x 1024,,5 ms,,19,,,1,160° H x 160° V,No,19.0,5.0,0.0,0.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.0
16:9,,250.0,No,,"ACM 12,000,000:1 (1000:1)",,,1,,,16700000,,1,No,Monitor,Yes,/product/ds3RsY/acer-monitor-etvs1hp001,Acer,,S231HLbid,"Acer S231HLbid 23.0"" 1920x1080 Monitor",ET.VS1HP.001,[],{},1920 x 1080,,5 ms,,23,,,1,170° H x 160° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,350.0,Yes,,"ACM 100,000,000:1 (1000:1)",,,1,,,16700000,1,1,No,Monitor,Yes,/product/FZJkcf/acer-xf240h-240-144hz-monitor-umfx0aa001,Acer,,XF240H,"Acer XF240H 24.0"" 1920x1080 144Hz Monitor",UM.FX0AA.001<br/>(or) XF240H bmjdpr,"[229.99, 239.99, 243.98, 246.98, 237.99]","{u'amazon': 229.99, u'pcmall': 237.99, u'directron': 246.98, u'superbiiz': 239.99, u'bhphotovideo': 243.98}",1920 x 1080,144Hz,1 ms,,24,Yes,,,170° H x 160° V,Yes,24.0,1.0,239.786,144.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.974246262539
16:9,,300.0,Yes,,"ACM 12,000,000:1 (1,200:1)",,,,,,16700000,,2,No,Monitor,Yes,/product/PjrG3C/acer-monitor-eths3hp001,Acer,,S273HL bmii,"Acer S273HL bmii 27.0"" 1920x1080 Monitor",ET.HS3HP.001,[],{},1920 x 1080,,2 ms,,27,,,1,170° H x 160° V,Yes,27.0,2.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,No,,"DCR 1,000,000:1 (1,000:1)",,,1,,,16700000,,,No,Monitor,Yes,/product/vTkD4D/samsung-monitor-s23a300b,Samsung,,,"Samsung S23A300B 23.0"" 1920x1080 Monitor",S23A300B,[],{},1920 x 1080,,5 ms,,23,,,1,170° H x 160° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,250.0,No,,"DCR 1,000,000:1 (1,000:1)",,,1,,,16700000,,,No,Monitor,Yes,/product/XxBv6h/samsung-monitor-s22a300b,Samsung,,,"Samsung S22A300B 21.5"" 1920x1080 Monitor",S22A300B,[],{},1920 x 1080,,5 ms,,21.5,,,1,170° H x 160° V,Yes,21.5,5.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:9,,250.0,Yes,1,"DC 1,000,000:1 (1,000:1)",,,,,,,,2,No,Monitor,Yes,/product/g2sKHx/samsung-monitor-t23a950,Samsung,,,"Samsung T23A950 23.0"" 1920x1080 120Hz Monitor",T23A950,[],{},1920 x 1080,120Hz,5 ms,1,23,,,,170° H x 160° V,Yes,23.0,5.0,0.0,120.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,250.0,Yes,1,"DC 1,000,000:1 (1,000:1)",,,,,,,,2,No,Monitor,Yes,/product/QtDwrH/samsung-monitor-t24a350,Samsung,,,"Samsung T24A350 24.0"" 1920x1080 Monitor",T24A350,[],{},1920 x 1080,,5 ms,1,24,,,1,170° H x 160° V,Yes,24.0,5.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:9,,250.0,Yes,1,"DC 1,000,000:1 (1,000:1)",,,,,,,,2,No,Monitor,Yes,/product/Vhzv6h/samsung-monitor-t22a350,Samsung,,,"Samsung T22A350 21.5"" 1920x1080 Monitor",T22A350,[],{},1920 x 1080,,5 ms,1,21.5,,,1,170° H x 160° V,Yes,21.5,5.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:9,,300.0,Yes,,ASCR 20000:1 (1000:1),,,1,,,16700000,,1,No,Monitor,No,/product/r3YXsY/asus-monitor-vk246h,Asus,,,"Asus VK246H 24.0"" 1920x1080 Monitor",VK246H,[],{},1920 x 1080,,2 ms,,24,,,1,170° H x 160° V,Yes,24.0,2.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:10,,250.0,No,,1000:1,,,,,,,,,No,Monitor,No,/product/2pPfrH/hp-monitor-nk570a8aba,HP,,LE1901w,"HP LE1901w 19.0"" 1440x900 Monitor",NK570A8#ABA,[],{},1440 x 900,,5 ms,,19,,,1,160° H x 160° V,Yes,19.0,5.0,0.0,0.0,"(16.0, 10.0)",162.247191011,"[16.1119677761, 10.0699798601]",16.1119677761,10.0699798601,0.0
5:4,,250.0,No,,1000:1,,,,,,,,,No,Monitor,No,/product/WWQypg/hp-monitor-em887a8aba,HP,,LE1911,"HP LE1911 19.0"" 1280x1024 Monitor",EM887A8#ABA,[],{},1280 x 1024,,5 ms,,19,,,1,160° H x 160° V,No,19.0,5.0,0.0,0.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.0
16:9,,300.0,Yes,,ASCR 20000:1 (1000:1),,,1,,,16700000,,1,No,Monitor,No,/product/jfTmP6/asus-monitor-vw246h,Asus,,,"Asus VW246H 24.0"" 1920x1080 Monitor",VW246H,[],{},1920 x 1080,,2 ms,,24,,,1,170° H x 160° V,Yes,24.0,2.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:9,,250.0,No,,"50,000,000:1 (DCR)",,,1,,,16700000,,,No,Monitor,Yes,/product/9GQypg/aoc-monitor-e943fwsk,AOC,,,"AOC E943FWSK 18.5"" 1366x768 60Hz Monitor",E943FWSK,[49.0],{u'amazon': 49.0},1366 x 768,60Hz,5 ms,,18.5,,,1,170° H x 160° V,Yes,18.5,5.0,49.0,60.0,"(16.0, 9.0)",146.243323442,"[16.1241474368, 9.0698329332]",16.1241474368,9.0698329332,0.335058031004
16:9,,250.0,No,,"12,000,000:1(ACM), 1000:1",,,1,,,16700000,,,No,Monitor,Yes,/product/B8tCmG/acer-monitor-etws1hp001,Acer,,S211HLbd,"Acer S211HLbd 21.5"" 1920x1080 Monitor",ET.WS1HP.001,[],{},1920 x 1080,,5 ms,,21.5,,,1,170° H x 160° V,Yes,21.5,5.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:10,,370.0,Yes,,"Dynamic 3,000:1 (1,000:1)",,,1,,,1070000000,1,,Yes,Monitor,No,/product/nZbp99/hp-monitor-vm617a8aba,HP,,ZR30w,"HP ZR30w 30.0"" 2560x1600 Monitor",VM617A8#ABA,[],{},2560 x 1600,,7 ms,,30,,,,178° H x 178° V,Yes,30.0,7.0,0.0,0.0,"(16.0, 10.0)",404.494382022,"[25.4399491202, 15.8999682001]",25.4399491202,15.8999682001,0.0
16:10,,250.0,No,,"ACM 50,000:1 (1,000:1)",,,,,,16700000,,,No,Monitor,No,/product/w9DwrH/acer-monitor-etcg5wpa01,Acer,,G195WAb,"Acer G195WAb 19.0"" 1440x900 Monitor",ET.CG5WP.A01,[],{},1440 x 900,,5 ms,,19,,,1,160° H x 160° V,Yes,19.0,5.0,0.0,0.0,"(16.0, 10.0)",162.247191011,"[16.1119677761, 10.0699798601]",16.1119677761,10.0699798601,0.0
16:9,,300.0,Yes,,"ACM 10,000,000:1",,,1,,,16700000,,3,No,Monitor,Yes,/product/szV48d/acer-monitor-ethh4hp001,Acer,,HN274Hbmiiid,"Acer HN274Hbmiiid 27.0"" 1920x1080 120Hz Monitor",ET.HH4HP.001,[],{},1920 x 1080,120Hz,2 ms,,27,,,1,170° H x 160° V,Yes,27.0,2.0,0.0,120.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,No,,"DC 3,000,000:1 (1,000:1)",,,1,,,,,1,No,Monitor,Yes,/product/dpPfrH/hp-monitor-xp600aaaba,HP,,2711x,"HP 2711x 27.0"" 1920x1080 Monitor",XP600AA#ABA,[],{},1920 x 1080,,5 ms,,27,,,1,,Yes,27.0,5.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,No,,"5,000,000:1",,,1,,,16700000,,1,Yes,Monitor,Yes,/product/vgMFf7/lg-monitor-ips226vpn,LG,,,"LG IPS226V-PN 21.5"" 1920x1080 Monitor",IPS226V-PN,[],{},1920 x 1080,,8 ms,,21.5,,,1,178° H x 178° V,Yes,21.5,8.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:9,,200.0,No,,"20,000:1 Max (ACM)",,,1,,,16700000,,,No,Monitor,No,/product/pyn2FT/acer-monitor-etwg5hpa07,Acer,,G215HVAbd,"Acer G215HVAbd 21.5"" 1920x1080 Monitor",ET.WG5HP.A07,[],{},1920 x 1080,,5 ms,,21.5,,,1,,Yes,21.5,5.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:9,,250.0,No,,"DC 3,000,000:1 (1,000:1)",,,1,,,,,,No,Monitor,Yes,/product/g8tCmG/hp-monitor-xp597aaaba,HP,,2011x,"HP 2011x 20.0"" 1600x900 Monitor",XP597AA#ABA,[],{},1600 x 900,,5 ms,,20,,,1,,Yes,20.0,5.0,0.0,0.0,"(16.0, 9.0)",170.919881306,"[17.4315107425, 9.80522479265]",17.4315107425,9.80522479265,0.0
16:9,,250.0,No,,"DFC 5,000,000:1 (1,000:1)",,,1,,,16700000,,1,No,Monitor,Yes,/product/9s3RsY/lg-monitor-e2441vbn,LG,,,"LG E2441V-BN 24.0"" 1920x1080 Monitor",E2441V-BN,[],{},1920 x 1080,,5 ms,,24,,,1,170° H x 160° V,Yes,24.0,5.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:10,,250.0,No,,ACM 50000:1(1000:1),,,1,,,16700000,,,No,Monitor,No,/product/rzV48d/acer-monitor-etex3wpd01,Acer,,X223WDbd,"Acer X223WDbd 22.0"" 1680x1050 Monitor",ET.EX3WP.D01,[],{},1680 x 1050,,5 ms,,22,,,1,170° H x 160° V,Yes,22.0,5.0,0.0,0.0,"(16.0, 10.0)",217.528089888,"[18.6559626881, 11.6599766801]",18.6559626881,11.6599766801,0.0
