Alarm,Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Battery Life,Dataline Protection,Emergency Power OFF,Form Factor,Hot Swappable,Input Voltage,Kind,Link,Load Capacity (VA),Load Capacity (W),Manufacturer,Maximum Battery Recharge Time,Name,Output Voltage,Part #,Prices,Protection Type,Rack Height,Receptacles,Serial Port,Switching Time,USB,Waveform Type,avg,short_link,load_cap_w,load_cap_va,max_batt_recharge_time,full_load,half_load
,2 Minutes,8.50 Minutes,,,,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/wGfmP6/tripp-lite-ups-su6000rt4uhv,6000 VA,5400 W,Tripp Lite,6 Hour,Tripp Lite SU6000RT4UHV UPS,240 V AC<br/>220 V AC<br/>230 V AC<br/>208 V AC,SU6000RT4UHV,"[2650.99, 2650.99, 2831.99, 3179.99, 3099.99]",,4U,2 x NEMA L6-30R<br/>2 x NEMA L6-20R,Yes,0 ns,Yes,,2882.79,tripp-lite-ups-su6000rt4uhv,5400.0,6000.0,6.0,2.0,8.5
,2 Minutes,8.50 Minutes,,,,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/CsJkcf/tripp-lite-ups-su6000rt4uhvhw,6000 VA,5400 W,Tripp Lite,6 Hour,Tripp Lite SU6000RT4UHVHW UPS,240 V AC<br/>220 V AC<br/>230 V AC,SU6000RT4UHVHW,[2855.34],,4U,Hardwired,Yes,0 ns,Yes,,2855.34,tripp-lite-ups-su6000rt4uhvhw,5400.0,6000.0,6.0,2.0,8.5
,2 Minutes,8.50 Minutes,,,,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/sRGj4D/tripp-lite-ups-su6000rt4utfhw,6000 VA,5400 W,Tripp Lite,6 Hour,Tripp Lite SU6000RT4UTFHW UPS,240 V AC<br/>208 V AC,SU6000RT4UTFHW,"[3578.45, 3657.78]",,6U,4 x NEMA 5-15R<br/>1 x NEMA L6-30R<br/>8 x Hardwired<br/>NEMA 5-15/20R,Yes,0 ns,Yes,,3618.115,tripp-lite-ups-su6000rt4utfhw,5400.0,6000.0,6.0,2.0,8.5
On Battery<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown,8 Minutes,20 Minutes,Sealed Lead Acid,6 Year,,Yes,,Yes,220 V AC,UPS,/product/qKZ2FT/tripp-lite-ups-su10krt3uhv,10000 VA,7000 W,Tripp Lite,4 Hour,Tripp Lite SU10KRT3UHV UPS,240 V AC<br/>220 V AC<br/>230 V AC,SU10KRT3UHV,[4125.3],,6U,,,0 ns,,Sine Wave,4125.3,tripp-lite-ups-su10krt3uhv,7000.0,10000.0,4.0,8.0,20.0
,4.50 Minutes,14 Minutes,,,RJ-45,Yes,Tower,Yes,110 V AC,UPS,/product/xhqbt6/tripp-lite-ups-su2200rtxl2ua,2200 VA,1600 W,Tripp Lite,,Tripp Lite SU2200RTXL2UA UPS,120 V AC,SU2200RTXL2UA,"[937.98, 917.01, 929.99, 955.99, 956.99, 979.99, 1079.99]",,2U,6 x NEMA L5-20R<br/>1 x NEMA 5-15/20R,Yes,,Yes,,965.42,tripp-lite-ups-su2200rtxl2ua,1600.0,2200.0,0.0,4.5,14.0
On Battery<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown,6 Minutes,18 Minutes,Sealed Lead Acid,6 Year,,Optional,Tower,,110 V AC,UPS,/product/r9Wrxr/tripp-lite-ups-su2200xl,2200 VA,1600 W,Tripp Lite,4 Hour,Tripp Lite SU2200XL UPS,120 V AC,SU2200XL,[855.99],,,6 x NEMA 5-20R<br/>1 x NEMA L5-20R,,0 ns,,Sine Wave,855.99,tripp-lite-ups-su2200xl,1600.0,2200.0,4.0,6.0,18.0
,6 Minutes,15 Minutes,,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/j8KhP6/tripp-lite-ups-su3000rtxl2u,3000 VA,2500 W,Tripp Lite,,Tripp Lite SU3000RTXL2U UPS,127 V AC<br/>120 V AC<br/>115 V AC,SU3000RTXL2U,"[1132.37, 1161.33, 1241.99, 1199.99, 1286.99]",,2U,6 x NEMA L5-30R<br/>1 x NEMA 5-15/20R,Yes,,Yes,,1204.534,tripp-lite-ups-su3000rtxl2u,2500.0,3000.0,0.0,6.0,15.0
Backup<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Frequency Error<br/>High AC Input,14 Minutes,33 Minutes,,6 Year,RJ-45<br/>RJ-11,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/ZnnG3C/tripp-lite-ups-su3000rtxr3u,3000 VA,2400 W,Tripp Lite,6 Hour,Tripp Lite SU3000RTXR3U UPS,120 V AC,SU3000RTXR3U,"[1617.54, 1645.99, 1655.99, 1739.99]",,3U,4 x NEMA 5-15R<br/>4 x NEMA 5-15/20R<br/>1 x NEMA L5-30R,Yes,,Yes,Sine Wave,1664.8775,tripp-lite-ups-su3000rtxr3u,2400.0,3000.0,6.0,14.0,33.0
,6 Minutes,15 Minutes,,,,Yes,Tower/Rack Mountable,Yes,110 V AC<br/>220 V AC,UPS,/product/CBPzK8/tripp-lite-ups-su8000rt3ug,8000 VA,6400 W,Tripp Lite,8 Hour,Tripp Lite SU8000RT3UG UPS,240 V AC<br/>230 V AC<br/>208 V AC<br/>220 V AC,SU8000RT3UG,[],,6U,6 x IEC 320-C19,,,,,0.0,tripp-lite-ups-su8000rt3ug,6400.0,8000.0,8.0,6.0,15.0
,5 Minutes,17 Minutes,,,RJ-11,Yes,Tower,,220 V AC,UPS,/product/wwVBD3/tripp-lite-ups-smx500rt1u,500 VA,300 W,Tripp Lite,4 Hour,Tripp Lite SMX500RT1U UPS,230 V AC,SMX500RT1U,[214.21],,1U,6 x IEC 320-C13,Yes,4 ms,Yes,,214.21,tripp-lite-ups-smx500rt1u,300.0,500.0,4.0,5.0,17.0
,1.98 Minutes,10.98 Minutes,Sealed Lead Acid,,RJ-11<br/>RG-6,,Tower,,110 V AC,UPS,/product/qvVBD3/cyberpower-ups-cp1500pfclcd,1500 VA,900 W,CyberPower,8 Hour,CyberPower CP1500PFCLCD UPS,120 V AC,CP1500PFCLCD,"[198.76, 198.76, 214.99, 198.75, 214.95]",,,10 x NEMA 5-15R,,,,Sine Wave,205.242,cyberpower-ups-cp1500pfclcd,900.0,1500.0,8.0,1.98,10.98
UPS StartUp<br/>Power Failure<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown,6.50 Minutes,17.70 Minutes,,,,Yes,Tower/Rack Mountable,Yes,120 V AC,UPS,/product/wKZ2FT/tripp-lite-ups-smc15002urm,1500 VA,1000 W,Tripp Lite,,Tripp Lite SMC15002URM UPS,120 V AC,SMC15002URM,"[398.97, 433.99, 483.99, 476.08, 485.99]",Brownout<br/>Over Voltage<br/>Surge<br/>Black Out<br/>Under Voltage<br/>EMI / RFI,2U,8 x NEMA 5-15R,Yes,,Yes,Sine Wave<br/>Pure Sine Wave,455.804,tripp-lite-ups-smc15002urm,1000.0,1500.0,0.0,6.5,17.7
On Battery,4 Minutes,15 Minutes,Sealed Lead Acid,6 Year,RJ-11,,Tower,,110 V AC,UPS,/product/cZ8H99/tripp-lite-ups-smart550usb,550 VA,300 W,Tripp Lite,4 Hour,Tripp Lite SMART550USB UPS,120 V AC,SMART550USB,"[88.95, 91.98, 98.99, 105.99]",Surge,,3 x NEMA 5-15R,,4 ms,Yes,Pulse-width Modulated Sine Wave,96.4775,tripp-lite-ups-smart550usb,300.0,550.0,4.0,4.0,15.0
On Battery,3 Minutes,11 Minutes,Sealed Lead Acid,6 Year,RJ-45,,Tower,,110 V AC,UPS,/product/JCyxFT/tripp-lite-ups-smart750usb,750 VA,450 W,Tripp Lite,4 Hour,Tripp Lite SMART750USB UPS,120 V AC,SMART750USB,"[123.99, 116.99, 129.99]",Surge,,3 x NEMA 5-15R,,4 ms,Yes,Pulse-width Modulated Sine Wave,123.656666667,tripp-lite-ups-smart750usb,450.0,750.0,4.0,3.0,11.0
,11 Minutes,28 Minutes,,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/jjcMnQ/tripp-lite-ups-smart2200crmxl,2200 VA,1900 W,Tripp Lite,3.60 Hour,Tripp Lite SMART2200CRMXL UPS,120 V AC,SMART2200CRMXL,"[969.1, 1107.99, 1118.33, 1055.99, 1055.99]",,4U,4 x NEMA 5-15R<br/>4 x NEMA 5-15/20R,Yes,5.50 ms,Yes,,1061.48,tripp-lite-ups-smart2200crmxl,1900.0,2200.0,3.6,11.0,28.0
,6 Minutes,16 Minutes,,,,Yes,Tower,Yes,110 V AC,UPS,/product/fM8H99/tripp-lite-ups-smart2200slt,2200 VA,1600 W,Tripp Lite,,Tripp Lite SMART2200SLT UPS,120 V AC,SMART2200SLT,"[702.06, 738.99]",,,6 x NEMA 5-15/20R<br/>1 x NEMA L5-20R,,4 ms,Yes,,720.525,tripp-lite-ups-smart2200slt,1600.0,2200.0,0.0,6.0,16.0
UPS StartUp<br/>Power Failure<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown,5 Minutes,11.90 Minutes,,,,Yes,Tower/Rack Mountable,Yes,230 V AC,UPS,/product/d8KhP6/tripp-lite-ups-smx2200xlrt2u,2200 VA,1920 W,Tripp Lite,4.50 Hour,Tripp Lite SMX2200XLRT2U UPS,230 V AC,SMX2200XLRT2U,[],EMI<br/>RFI,2U,8 x IEC 60320 C13,,4 ms,Yes,Pure Sine Wave,0.0,tripp-lite-ups-smx2200xlrt2u,1920.0,2200.0,4.5,5.0,11.9
On Battery<br/>Overload,6 Minutes,18 Minutes,Sealed Lead Acid,6 Year,,,Tower,Yes,110 V AC,UPS,/product/JzM323/tripp-lite-ups-smart1050slt,1050 VA,670 W,Tripp Lite,4 Hour,Tripp Lite SMART1050SLT UPS,120 V AC,SMART1050SLT,"[327.34, 369.99, 349.99]",,,8 x NEMA 5-15R,,,Yes,Sine Wave,349.106666667,tripp-lite-ups-smart1050slt,670.0,1050.0,4.0,6.0,18.0
On Battery,6 Minutes,20 Minutes,UPS Battery,6 Year,,,Tower,Yes,110 V AC,UPS,/product/Xm8H99/tripp-lite-ups-smart700,700 VA,450 W,Tripp Lite,4 Hour,Tripp Lite SMART700 UPS,120 V AC,SMART700,[],,,6 x NEMA 5-15R,,4 ms,Yes,Sine Wave,0.0,tripp-lite-ups-smart700,450.0,700.0,4.0,6.0,20.0
Power Failure<br/>Overload<br/>Low Battery,7 Minutes,19 Minutes,Sealed Lead Acid,6 Year,,Yes,Tower,Yes,110 V AC,UPS,/product/pjcMnQ/tripp-lite-ups-smart2200vsxl,2200 VA,1600 W,Tripp Lite,4 Hour,Tripp Lite SMART2200VSXL UPS,120 V AC,SMART2200VSXL,"[667.99, 692.08, 745.99]",,,7 x NEMA 5-15R<br/>2 x NEMA 5-20R<br/>1 x NEMA L5-20R,Yes,4 ms,Yes,Pulse-width Modulated Sine Wave,702.02,tripp-lite-ups-smart2200vsxl,1600.0,2200.0,4.0,7.0,19.0
On Battery<br/>Low Battery,6.70 Minutes,23.90 Minutes,Sealed Lead Acid,,,Yes,,Yes,110 V AC,UPS,/product/sYTrxr/apc-ups-sua1500rf,1440 VA,980 W,APC,3 Hour,APC SUA1500-RF UPS,120 V AC,SUA1500-RF,[],,,8 x NEMA 5-15R,Yes,,Yes,Sine Wave,0.0,apc-ups-sua1500rf,980.0,1440.0,3.0,6.7,23.9
,,,,,,,,,,UPS,/product/zJM323/cyberpower-ups-bu800euk,800 VA,400 W,CyberPower,,CyberPower BU800E-UK UPS,,BU800E-UK,[],,,,,,,,0.0,cyberpower-ups-bu800euk,400.0,800.0,0.0,0.0,0.0
,7 Minutes,23 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,110 V AC,UPS,/product/Z3FXsY/apc-ups-smt1500us,1440 VA,1000 W,APC,3 Hour,APC SMT1500US UPS,120 V AC,SMT1500US,"[778.99, 769.99]",,,8 x NEMA 5-15R,,,Yes,,774.49,apc-ups-smt1500us,1000.0,1440.0,3.0,7.0,23.0
,3 Minutes,13 Minutes,Sealed Lead Acid,,RJ-11<br/>RJ-45,,Tower,Yes,110 V AC,UPS,/product/MQVBD3/apc-ups-bn1080g,1080 VA,650 W,APC,16 Hour,APC BN1080G UPS,120 V AC<br/>110 V AC,BN1080G,"[119.99, 175.02]",,,4 x NEMA 5-15R,,,Yes,,147.505,apc-ups-bn1080g,650.0,1080.0,16.0,3.0,13.0
,3 Minutes,,,6 Year,,,Tower,,110 V AC,UPS,/product/tXH48d/tripp-lite-ups-smart1000lcd,1000 VA,500 W,Tripp Lite,8 Hour,Tripp Lite SMART1000LCD UPS,120 V AC,SMART1000LCD,"[119.75, 121.99, 123.99, 129.99, 119.75, 128.0, 229.0]",,2U,4 x NEMA 5-15R,,4 ms,Yes,,138.924285714,tripp-lite-ups-smart1000lcd,500.0,1000.0,8.0,3.0,0.0
,1.98 Minutes,7.80 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/XD8H99/cyberpower-ups-cp350slg,350 VA,255 W,CyberPower,8 Hour,CyberPower CP350SLG UPS,120 V AC,CP350SLG,"[39.09, 39.95, 39.95, 39.95, 39.95, 39.99, 39.95, 39.95, 49.98]",,,3 x NEMA 5-15R,,,,,40.9733333333,cyberpower-ups-cp350slg,255.0,350.0,8.0,1.98,7.8
,,,,,RJ-11<br/>RJ-45<br/>RG-6,,Tower,,,UPS,/product/vhqbt6/tripp-lite-ups-smt1500lcdt,1500 VA,900 W,Tripp Lite,,Tripp Lite SMT1500LCDT UPS,,SMT1500LCDT,[169.99],Brownout<br/>Surge,,10 x AC Power,,,Yes,,169.99,tripp-lite-ups-smt1500lcdt,900.0,1500.0,0.0,0.0,0.0
Low Battery<br/>Configurable Delay<br/>On Battery,10 Minutes,25 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,,,UPS,/product/RWX2FT/apc-ups-smx2200hv,2200 VA,1980 W,APC,3 Hour,APC SMX2200HV UPS,220 V AC,SMX2200HV,"[1229.99, 1229.99, 1266.99, 1314.99, 1319.99]",,4U,,,,Yes,Sine Wave,1272.39,apc-ups-smx2200hv,1980.0,2200.0,3.0,10.0,25.0
,1.98 Minutes,7.80 Minutes,Sealed Lead Acid,,RJ-11<br/>RG-6,,Mini-tower,,110 V AC,UPS,/product/Q4Crxr/cyberpower-ups-cp850pfclcd,850 VA,510 W,CyberPower,8 Hour,CyberPower CP850PFCLCD UPS,120 V AC,CP850PFCLCD,"[129.95, 129.95, 129.95, 141.95, 129.95, 148.95]",,,10 x NEMA 5-15R,,,,Sine Wave,135.116666667,cyberpower-ups-cp850pfclcd,510.0,850.0,8.0,1.98,7.8
,2 Minutes,8 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/tzM323/cyberpower-ups-cp550slg,550 VA,330 W,CyberPower,8 Hour,CyberPower CP550SLG UPS,120 V AC,CP550SLG,"[51.95, 51.95, 51.95, 51.95, 53.95, 51.95, 59.98, 51.95]",,,4 x NEMA 5-15R,,,Yes,,53.20375,cyberpower-ups-cp550slg,330.0,550.0,8.0,2.0,8.0
,3 Minutes,11 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/qzM323/apc-ups-surta2200rmxl2u,2200 VA,1750 W,APC,3 Hour,APC SURTA2200RMXL2U UPS,120 V AC,SURTA2200RMXL2U,"[1204.95, 1238.99, 1271.98, 1291.99, 1359.99, 1449.99]",,2U,6 x NEMA 5-15R,,,Yes,,1302.98166667,apc-ups-surta2200rmxl2u,1750.0,2200.0,3.0,3.0,11.0
,7.80 Minutes,19.80 Minutes,Sealed Lead Acid,,RG-6<br/>RJ-11,,Tower/Rack Mountable,,110 V AC,UPS,/product/nzM323/cyberpower-ups-or2200pfcrt2u,2000 VA,1320 W,CyberPower,8 Hour,CyberPower OR2200PFCRT2U UPS,120 V AC,OR2200PFCRT2U,"[450.86, 455.98, 469.95, 450.86, 486.99, 529.99]",,,8 x NEMA 5-20R,,4 ms,,Sine Wave,474.105,cyberpower-ups-or2200pfcrt2u,1320.0,2000.0,8.0,7.8,19.8
Low Battery<br/>On Battery<br/>Overload,2 Minutes,10 Minutes,Sealed Lead Acid,,Type F Connector<br/>RJ-45,No,,Yes,110 V AC,UPS,/product/dkTrxr/cyberpower-ups-cp685avr,685 VA,390 W,CyberPower,8 Hour,CyberPower CP685AVR UPS,120 V AC,CP685AVR,"[67.95, 67.95, 67.95, 67.95, 76.95]",,,4 x NEMA 5-15R,Yes,4 ms,Yes,Simulated Sine Wave,69.75,cyberpower-ups-cp685avr,390.0,685.0,8.0,2.0,10.0
,4.90 Minutes,15.30 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/fzM323/apc-ups-surt20krmxlt,20000 VA,16000 W,APC,2.50 Hour,APC SURT20KRMXLT UPS,208 V AC,SURT20KRMXLT,[],,12U,2 x NEMA L6-20R<br/>4 x NEMA L6-30R<br/>1 x Hard Wire 3-wire (2PH + G),Yes,,,,0.0,apc-ups-surt20krmxlt,16000.0,20000.0,2.5,4.9,15.3
On Battery<br/>Low Battery<br/>Overload,10 Minutes,2 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,,120 V AC,UPS,/product/pTH48d/cyberpower-ups-avrg900u,900 VA,480 W,CyberPower,8 Hour,CyberPower AVRG900U UPS,120 V AC,AVRG900U,"[79.95, 94.95, 94.95, 94.95, 94.95]",Surge<br/>EMI<br/>RFI,,12 x NEMA 5-15R,,,Yes,Simulated Sine Wave,91.95,cyberpower-ups-avrg900u,480.0,900.0,8.0,10.0,2.0
On Battery<br/>Low Battery<br/>Overload,2 Minutes,12 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11<br/>RG-6,,Mini-tower,,120 V AC,UPS,/product/4zM323/cyberpower-ups-brg1500avrlcd,1500 VA,900 W,CyberPower,8 Hour,CyberPower BRG1500AVRLCD UPS,120 V AC,BRG1500AVRLCD,"[184.95, 184.95, 184.95, 184.95, 184.95]",Overload<br/>Lightning<br/>Surge,,12 x NEMA 5-15R,Yes,,Yes,Simulated Sine Wave,184.95,cyberpower-ups-brg1500avrlcd,900.0,1500.0,8.0,2.0,12.0
Low Battery<br/>On Battery<br/>Overload<br/>Battery Missing<br/>Fault,3.30 Minutes,10.20 Minutes,Lead Acid,,,Yes,Tower,,120 V AC,UPS,/product/Nd648d/cyberpower-ups-pr2200lcdsl,2070 VA,1980 W,CyberPower,8 Hour,CyberPower PR2200LCDSL UPS,120 V AC,PR2200LCDSL,"[625.95, 625.95, 625.95, 625.95]",,,6 x NEMA 5-20R<br/>1 x NEMA L5-20R,Yes,,Yes,Sine Wave,625.95,cyberpower-ups-pr2200lcdsl,1980.0,2070.0,8.0,3.3,10.2
,,,Sealed Lead Acid,,RJ-11,,Tower,,110 V AC,UPS,/product/86X2FT/lenovo-ups-33l3478,675 VA,,Lenovo,,Lenovo 33L3478 UPS,,33L3478,[266.99],,,3 x NEMA 5-15R,Yes,,Yes,,266.99,lenovo-ups-33l3478,0.0,675.0,0.0,0.0,0.0
,3 Minutes,12 Minutes,Sealed Lead Acid,,RJ-45,,Desktop,Yes,110 V AC,UPS,/product/KbjWGX/apc-ups-be650g1cn,650 VA,390 W,APC,24 Hour,APC BE650G1-CN UPS,120 V AC,BE650G1-CN,[],,,4 x NEMA 5-15R,,,Yes,,0.0,apc-ups-be650g1cn,390.0,650.0,24.0,3.0,12.0
,3.30 Minutes,13.50 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,Yes,110 V AC,UPS,/product/QYrcCJ/apc-ups-be550gcn,550 VA,330 W,APC,24 Hour,APC BE550G-CN UPS,120 V AC,BE550G-CN,[],,,4 x NEMA 5-15R,,,Yes,,0.0,apc-ups-be550gcn,330.0,550.0,24.0,3.3,13.5
,8 Minutes,20 Minutes,Lead Acid,,RJ-11<br/>RJ-45,,Tower,Yes,,UPS,/product/f4Crxr/apc-ups-br1200gi,1200 VA,720 W,APC,8 Hour,APC BR1200GI UPS,230 V AC,BR1200GI,"[374.95, 380.43, 383.99, 396.99]",,,,,,Yes,,384.09,apc-ups-br1200gi,720.0,1200.0,8.0,8.0,20.0
,3.40 Minutes,11.70 Minutes,Lead Acid,,,,,Yes,110 V AC,UPS,/product/hLDzK8/apc-ups-smt3000r2x145,3000 VA,2700 W,APC,3 Hour,APC SMT3000R2X145 UPS,120 V AC,SMT3000R2X145,"[1449.99, 1359.99, 1514.5, 1434.99]",,2U,2 x NEMA 5-20R<br/>6 x NEMA 5-15R,Yes,,Yes,,1439.8675,apc-ups-smt3000r2x145,2700.0,3000.0,3.0,3.4,11.7
,5 Minutes,16 Minutes,Sealed Lead Acid,,,,Rack-mountable,Yes,,UPS,/product/TgL7YJ/apc-ups-smt2200rmi2u,2200 VA,1980 W,APC,3 Hour,APC SMT2200RMI2U UPS,230 V AC,SMT2200RMI2U,"[1461.51, 1487.05, 1729.99]",,,,Yes,,Yes,,1559.51666667,apc-ups-smt2200rmi2u,1980.0,2200.0,3.0,5.0,16.0
,1.98 Minutes,10.98 Minutes,Sealed Lead Acid,,RJ-45<br/>RG-6<br/>RJ-11,,Tower,,110 V AC,UPS,/product/mXH48d/cyberpower-ups-cp1500pfclcdtaa,1500 VA,900 W,CyberPower,8 Hour,CyberPower CP1500PFCLCDTAA UPS,120 V AC,CP1500PFCLCDTAA,"[232.99, 222.26, 239.99]",,,10 x NEMA 5-15R,Yes,,Yes,Sine Wave,231.746666667,cyberpower-ups-cp1500pfclcdtaa,900.0,1500.0,8.0,1.98,10.98
,4 Minutes,,,,,,Rack-mountable,,208 V AC,UPS,/product/DRGj4D/apc-ups-srt10krmxlt,10000 VA,10000 W,APC,1.50 Hour,APC SRT10KRMXLT UPS,208 V AC,SRT10KRMXLT,"[5999.99, 6016.41, 6339.99, 6639.99]",,6U,1 x Hard Wire 3-wire (2PH + G)<br/>4 x NEMA L6-20R<br/>2 x NEMA L6-30R,,,,,6249.095,apc-ups-srt10krmxlt,10000.0,10000.0,1.5,4.0,0.0
On Battery<br/>Low Battery,,,Sealed Lead Acid,,RJ-11,,,Yes,,UPS,/product/TRGj4D/apc-ups-be325gr,325 VA,185 W,APC,,APC BE325-GR UPS,,BE325-GR,[75.99],,,,,,,,75.99,apc-ups-be325gr,185.0,325.0,0.0,0.0,0.0
,,,,,,,Tower,Yes,220 V AC,UPS,/product/jQVBD3/apc-ups-br550gi,550 VA,330 W,APC,,APC BR550GI UPS,,BR550GI,[157.99],,,3 x IEC 60320 C13,Yes,,,,157.99,apc-ups-br550gi,330.0,550.0,0.0,0.0,0.0
,,,Sealed Lead Acid,,,Yes,Tower,Yes,110 V AC,UPS,/product/jr7CmG/apc-ups-smt2200,2200 VA,1980 W,APC,3 Hour,APC SMT2200 UPS,120 V AC,SMT2200,"[643.26, 761.49, 761.99, 761.99, 761.99, 761.99, 769.95, 874.99, 827.99]",,,8 x NEMA 5-20R<br/>2 x NEMA 5-15R,Yes,,Yes,,769.515555556,apc-ups-smt2200,1980.0,2200.0,3.0,0.0,0.0
Low Battery<br/>On Battery<br/>Overload,6 Minutes,16.80 Minutes,Lead Acid,,,,Tower,,110 V AC,UPS,/product/G9Wrxr/cyberpower-ups-pr3000lcd,3000 VA,2700 W,CyberPower,8 Hour,CyberPower PR3000LCD UPS,120 V AC,PR3000LCD,"[915.95, 915.95, 954.99, 915.95, 915.95]",,,2 x NEMA 5-20R<br/>8 x NEMA 5-15R,,,,,923.758,cyberpower-ups-pr3000lcd,2700.0,3000.0,8.0,6.0,16.8
,3 Minutes,10 Minutes,,,RJ-11,,Mini Desktop,,110 V AC,UPS,/product/B8KhP6/tripp-lite-ups-internet600u,600 VA,300 W,Tripp Lite,4 Hour,Tripp Lite INTERNET600U UPS,120 V AC,INTERNET600U,"[55.99, 62.49, 59.99, 65.99, 69.99]",Black Out<br/>Brownout<br/>Surge,,8 x NEMA 5-15R,,4 ms,Yes,,62.89,tripp-lite-ups-internet600u,300.0,600.0,4.0,3.0,10.0
,5 Minutes,,Sealed Lead Acid,,,,Tower,,,UPS,/product/VXH48d/apc-ups-br900gi,900 VA,540 W,APC,,APC BR900GI UPS,230 V AC,BR900GI,[219.99],,,,,,,,219.99,apc-ups-br900gi,540.0,900.0,0.0,5.0,0.0
,3 Minutes,12 Minutes,,,,,Tower,Yes,110 V AC,UPS,/product/zxYWGX/apc-ups-br700g,700 VA,450 W,APC,,APC BR700G UPS,120 V AC,BR700G,"[100.1, 100.1, 102.99, 109.99, 100.1, 115.99, 120.49, 124.99, 119.99]",,,3 x NEMA 5-15R,Yes,,Yes,,110.526666667,apc-ups-br700g,450.0,700.0,0.0,3.0,12.0
,6.50 Minutes,23.10 Minutes,Lead Acid,,,Optional,,Yes,110 V AC,UPS,/product/YCyxFT/apc-ups-smt1500x448,1500 VA,1000 W,APC,3 Hour,APC SMT1500X448 UPS,120 V AC,SMT1500X448,"[879.42, 949.95, 1051.99]",,,8 x NEMA 5-15R,Yes,,Yes,,960.453333333,apc-ups-smt1500x448,1000.0,1500.0,3.0,6.5,23.1
Low Battery,6 Minutes,18 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,,UPS,/product/gf8H99/apc-ups-smx3000hvnc,3000 VA,2700 W,APC,3 Hour,APC SMX3000HVNC UPS,230 V AC,SMX3000HVNC,"[1952.99, 2179.99]",Surge<br/>AC Noise,4U,,Yes,,,Sine Wave,2066.49,apc-ups-smx3000hvnc,2700.0,3000.0,3.0,6.0,18.0
On Battery<br/>Low Battery<br/>Overload,2 Minutes,12 Minutes,Lead Acid,,RJ-45<br/>RG-6,,Mini-tower,,120 V AC,UPS,/product/7tJkcf/cyberpower-ups-brg1500avrlcdtaa,1500 VA,900 W,CyberPower,8 Hour,CyberPower BRG1500AVRLCDTAA UPS,120 V AC,BRG1500AVRLCDTAA,"[196.99, 199.99, 196.99]",Surge<br/>Overload<br/>EMI / RFI<br/>Lightning<br/>Black Out<br/>Brownout<br/>Spike<br/>Sag,,12 x NEMA 5-15R<br/>2 x USB,Yes,,Yes,Simulated Sine Wave,197.99,cyberpower-ups-brg1500avrlcdtaa,900.0,1500.0,8.0,2.0,12.0
On Battery<br/>Overload<br/>Low Battery,3 Minutes,9.40 Minutes,Sealed Lead Acid,,RJ-45<br/>RG-6,Yes,Tower/Rack Mountable,Yes,120 V AC,UPS,/product/nxYWGX/cyberpower-ups-pr2200lcdrtxl2u,2150 VA,2150 W,CyberPower,6 Hour,CyberPower PR2200LCDRTXL2U UPS,120 V AC,PR2200LCDRTXL2U,"[759.95, 759.95, 759.95, 775.95, 759.95, 759.95]",EMI / RFI,2U,8 x NEMA 5-20R,Yes,4 ms,Yes,Sine Wave,762.616666667,cyberpower-ups-pr2200lcdrtxl2u,2150.0,2150.0,6.0,3.0,9.4
Power Failure,5 Minutes,14 Minutes,,6 Year,RJ-45<br/>RJ-11,,Tower,Yes,220 V AC,UPS,/product/DD8H99/tripp-lite-ups-omnivsint1500xl,1500 VA,940 W,Tripp Lite,4 Hour,Tripp Lite OMNIVSINT1500XL UPS,230 V AC,OMNIVSINT1500XL,"[280.99, 307.91, 304.99]",,,8 x IEC 320 EN 60320 C13,,,Yes,Pulse-width Modulated Sine Wave,297.963333333,tripp-lite-ups-omnivsint1500xl,940.0,1500.0,4.0,5.0,14.0
